,3 weeks,3 weeks,3 weeks,3 weeks,3 weeks,3 weeks,3 weeks,3 weeks,3 weeks,3 weeks,1 month,1 month,1 month,1 month,1 month,1 month,1 month,1 month,1 month,1 month
,CAGR,Ann. vol,Sharpe,Sortino,Max drawdown,Calmar,CVaR 95%,Worst period,Beta to SPY,Hit rate,CAGR,Ann. vol,Sharpe,Sortino,Max drawdown,Calmar,CVaR 95%,Worst period,Beta to SPY,Hit rate
L18 stock,0.2199707574930454,0.1733306575728434,1.086906716010822,1.8583459957710742,-0.2520642795653325,0.8726772308728941,-0.08179477315443387,-0.21018544262979963,0.8630074844792567,0.6330935251798561,0.20180359812317583,0.17633595710642094,0.9874474785296893,1.7868138099659931,-0.25831503337930084,0.7812305597671291,-0.08962213260561262,-0.1894338288603018,0.8730171552569438,0.6565656565656566
L18 sec,0.14462860515024234,0.08613549261863272,1.3090862668560386,3.209058594777414,-0.0704137307609145,2.0539829886491865,-0.026742378532396964,-0.03743743140266651,0.19483075357993662,0.6474820143884892,0.11086944654585928,0.09008340253350479,0.9239224256224334,1.8961107218158004,-0.0919840467674925,1.2053116865591191,-0.04009780178581886,-0.07582678540015081,0.24742542991510588,0.6161616161616161
L18 spy,0.13246686420537346,0.09894794613540717,1.0421010699759048,2.3312831700659618,-0.08500131329437899,1.5584096182915481,-0.03488466318575457,-0.04847461869474688,0.09972158756663076,0.5755395683453237,0.09905138905639244,0.0993030076332208,0.7382890516415839,1.3519389648125097,-0.10273968282034573,0.9641005922667409,-0.05047999096043996,-0.08268812859878566,0.14256773493335195,0.5959595959595959
L18 spy50,0.1780638349469561,0.12534759993203812,1.1627985557927458,2.4170153189357437,-0.13390838150161144,1.3297437617436463,-0.04525721937266415,-0.10797262225482245,0.48136453602294366,0.6330935251798561,0.15174442873609495,0.12775322611869083,0.9684171079940398,1.8890548005118974,-0.17811048919156391,0.8519679521675371,-0.05892605790675105,-0.13606097872954373,0.5077924450951479,0.6464646464646465
L18 spy75,0.15566798259586756,0.10816694049647613,1.15038738994746,2.6668455830063684,-0.07299454494051205,2.1325974800271914,-0.03485103704444277,-0.05686621206733385,0.2905430617947872,0.6330935251798561,0.12569060611338911,0.10978058395543645,0.8973933550282479,1.7532839329803926,-0.13655485001100198,0.9204404391587881,-0.05237640761971436,-0.10937455366416468,0.3251800900142499,0.6262626262626263
L18 spyb,0.11377555780066628,0.09098143004914876,0.9417208114929079,1.9113915209621433,-0.08835078049237655,1.2877708285834957,-0.03429909004067666,-0.06550137219019452,0.09852887978242748,0.5467625899280576,0.0835319240357848,0.0917623392855157,0.6358374341071786,1.0359042832912877,-0.11031456883678004,0.7572157052018897,-0.053037755921822013,-0.09747090327891172,0.11751048307911749,0.5858585858585859
L18 atm,0.10378703430622505,0.09263227002869574,0.8283703345963745,1.8074960449390582,-0.07977819807755682,1.3009448296303698,-0.027630958779467234,-0.03750363997285531,0.3495931374787758,0.5467625899280576,0.10741430276153063,0.10344600915788087,0.7854314945722302,1.9022114200127,-0.06824114418548888,1.5740401783059745,-0.029094670566126322,-0.040715336520101814,0.4346267852998731,0.5656565656565656
L18 c30,0.0388531003646031,0.050064871774267994,0.25876113682416224,0.47864459420426225,-0.09444299751693164,0.41139207126116,-0.016214622510646665,-0.020590040443871454,0.12711957445037073,0.4892086330935252,0.04777949224225542,0.06157510531719645,0.3618080338467909,0.8159553764865533,-0.06099892200196588,0.7832842069031248,-0.016657992677456622,-0.020862559786430937,0.21122927193161647,0.48484848484848486
L18 atm_dm,0.1655469644622245,0.1697728013262759,0.8312753037133339,1.7646330440669498,-0.15148084023189434,1.0928574479042832,-0.05269364989763165,-0.0688674754539769,0.6437617934424361,0.539568345323741,0.17065931596212014,0.1913558213209034,0.7801565631499415,1.8680129391144038,-0.13099444358493118,1.3027981286204096,-0.05463785330126421,-0.07603925054392789,0.8016387256462071,0.5656565656565656
L18 c30_dm,0.058055668683508976,0.16503891398312995,0.2616522940480512,0.478644594204262,-0.30737216563525915,0.18887744296404604,-0.05447215204733735,-0.06875423885695005,0.4231837329049164,0.4748201438848921,0.08428627591281002,0.20592614372121756,0.36062067992176744,0.8159553764865533,-0.1970232438567021,0.42779864072338925,-0.05820277155511805,-0.06977902308055893,0.7023805122159588,0.45454545454545453
L18 x_atm,0.10048296996838268,0.1319348802375811,0.5913641751129143,1.098509626463845,-0.1260640788167342,0.7970785247593005,-0.05243931036378085,-0.09844133567197347,0.08499569059970516,0.539568345323741,0.044554684341785,0.13181457346034275,0.1954847841871502,0.34063035329478664,-0.14686587167869836,0.3033698968488625,-0.06317721473744536,-0.10644370123592597,0.138005911962064,0.45454545454545453
L18 x_c30,0.02713964134582958,0.15529878183135043,0.07708535907892407,0.13182048116782197,-0.21861529758124942,0.12414337718403719,-0.06749422195149586,-0.10273278354474583,-0.02026952235981349,0.460431654676259,-0.02053232006908412,0.1727714725504195,-0.18837435976901737,-0.28860201824190873,-0.2751472466504359,-0.0746230257399946,-0.10337450954357999,-0.1613599485235578,0.08901752107152379,0.37373737373737376
L18 x_mix,0.13171851892101816,0.15984910514125247,0.6876259257049877,1.3909549256191227,-0.12028921617819388,1.0950151901055964,-0.05941084949093894,-0.10976054503530787,0.20030853817770589,0.5251798561151079,0.059789484828152606,0.1467627562314547,0.2894505356863619,0.46971359867368917,-0.1738166013672191,0.3439802893271194,-0.07882549869369188,-0.14597707671468696,0.18827573450177226,0.48484848484848486
L18 h1,0.049140987925208934,0.07551618134288512,0.32289871560812866,0.587349830701884,-0.11081614652020322,0.44344609940258023,-0.027055015377240556,-0.05716769684786111,-0.031779163596329346,0.539568345323741,0.04522702119123134,0.07499053013972189,0.2764134494718082,0.5154743161460535,-0.09291255025480205,0.48676977509713604,-0.033133369575004644,-0.043430696480755385,0.06962285316910566,0.494949494949495
L18 h2,0.06622489346467053,0.15107931790173787,0.3227983591917931,0.5873498307018841,-0.2155479385912651,0.3072397439636393,-0.055098537954335024,-0.11443395479473455,-0.06379326230536704,0.5251798561151079,0.058457843294532186,0.15075132972198096,0.27500110482432083,0.5154743161460534,-0.22210367766522343,0.2632006993717844,-0.06893304121924107,-0.08696303172970613,0.1385098230998845,0.4444444444444444
L18 pp50,0.07660984024016582,0.08384739922167934,0.6076903864622352,1.2005736295931635,-0.09026428672984244,0.8487281406150823,-0.02815118158394803,-0.050400414953727705,0.11285739751486508,0.5251798561151079,0.08953249811086206,0.09005268867837346,0.7064476711771998,1.6798115118214851,-0.0687791178194892,1.3017395533603688,-0.02869397186923379,-0.03658183299276155,0.24482311370024779,0.5656565656565656
L18 pp100,0.048014161498665775,0.09825056791225632,0.25620912825806375,0.46603462099935417,-0.19296264083345271,0.24882620434339467,-0.03782332650059294,-0.06329718993460011,-0.12387834244904584,0.5467625899280576,0.070429590634844,0.09150598008731593,0.5025384218154706,0.9980159035967587,-0.11727560676857762,0.6005476550108512,-0.036884488760647476,-0.04814836878655124,0.05501944210062268,0.5555555555555556
G3 stock,0.27080359014468547,0.2590683184339628,0.9491447013263398,1.8882615697363119,-0.33801652434449536,0.8011548863471873,-0.10128722025448142,-0.27955380167340765,1.1155365481878454,0.6762589928057554,0.23015088608440348,0.2695510331204848,0.8120713183304759,1.4557654118515582,-0.4557833276646067,0.5049567900249361,-0.13686954509828045,-0.3723706392535192,1.1726762707305503,0.6262626262626263
G3 sec,0.19326342816528252,0.15549191598721504,1.0428231792823939,2.8150032104755827,-0.12590987318189883,1.5349346582700445,-0.045587795344156266,-0.0796116502098096,0.2996985123130919,0.60431654676259,0.1377117421484806,0.15348901176702676,0.7475899920929008,1.428271691092413,-0.22602904558917625,0.6092656887946225,-0.07854804461653324,-0.1814740745409953,0.3848544790289691,0.5757575757575758
G3 spy,0.17503253181725853,0.17026680488683196,0.8739013373810894,2.131416386754,-0.13967208206208936,1.2531676282984752,-0.05385088404196308,-0.09420969823756599,0.22993090022720514,0.5611510791366906,0.12497179018255644,0.16734870673827787,0.6313280975995499,1.1153973980664242,-0.2661577853915499,0.469540239067995,-0.09150201987258955,-0.19769585700740192,0.3015069198050632,0.5656565656565656
G3 spyb,0.1631966532778637,0.14915144529947522,0.9110563790977576,1.9467844123773708,-0.14539726662975516,1.1224189908152369,-0.05399067220098642,-0.11355378742038853,0.12131039754537425,0.5971223021582733,0.10881224261326716,0.15008828270268043,0.5915427358613972,0.9141946728976511,-0.2732950653136079,0.3981493134111455,-0.09370073886611714,-0.20705834860527553,0.21248573625439637,0.6060606060606061
