exit,G1,G2,G3,G4,Momentum L/S,MeanRev L/S,All 4 combined,Longs only (G1+G3),Book 18L/18S,Long book,Short book,SPY,EW_universe
2018,-0.021579201780221102,-0.036825382976722,0.05446805698192314,-0.10490217194504436,-0.0253712868653152,-0.026136976737712647,-0.024548942380412497,0.019113294500697542,-0.027704001072899054,-0.009460815810836354,-0.04844626210306402,-0.04392898247579269,-0.015073610472266963
2019,0.09772401403613351,-0.30052364535010145,0.20800942051352256,-0.18435866433866144,-0.11876903590734844,0.00033448276574610247,-0.058170842756888996,0.16057671865650547,-0.008546313355091373,0.17170305295704513,-0.1660717367920076,0.2564856657188337,0.25459776768377074
2020,0.6139767745048825,-0.2164251931215071,0.8817765783009393,-0.17496771972637581,0.17805642108218778,0.350718167435051,0.28146143679006763,0.776902315804147,0.2572563567001407,0.5595631366201301,-0.04685893599415214,0.17256234933918124,0.21268204853743033
2021,0.29978756970842113,-0.3351713906976629,0.6238052278194561,-0.26320776617935504,-0.05936131296086811,0.10397926910598376,0.022805287316944867,0.46308771283005457,0.011702410264561758,0.3137352334956467,-0.2277422459424744,0.3163335634306139,0.32262209640061923
2022,-0.08702267724905899,-0.0641502306708831,0.20283765014078403,-0.10084235490411309,-0.04457812057736199,0.06071601235499191,0.010002062563629233,0.06107519381830562,0.02572796491274243,0.019516075503507757,0.014261366617271065,-0.15479384164318732,0.004524136157360248
2023,0.09546565976955623,-0.2569608525106064,0.07976909791118159,-0.04488800318323782,-0.08538723207185939,0.023830298451775977,-0.02841560240916663,0.09212281072818485,-0.012078832669403905,0.10103562743437644,-0.1223239895870667,0.20652608536795136,0.1659225084350784
2024,0.5887573793678109,-0.2190127080131068,0.11079581011935802,-0.2794646287123148,0.12950537050655164,-0.09641616709697898,0.012065452897309425,0.33335112921492405,0.0384336294763008,0.2908027763887653,-0.17376344476878403,0.27617905686135247,0.2355827944527693
2025,0.15391262558941365,-0.20587064822221024,0.5007921838993961,-0.036042127609096974,-0.03553169219726293,0.21042782971909557,0.08431440983033744,0.3213394976655277,0.053506701085688224,0.21266310615833284,-0.09181400875686996,0.16014715445503858,0.1775148562856832
2026,0.040861240941096444,-0.014948632466268319,0.49959546631923035,-0.03263343001491914,0.017807403966523472,0.21913593812459853,0.11998073591139935,0.26510307080730855,0.07082612162901891,0.17238285040862444,-0.026607436732152046,0.1338165799926898,0.12877373786206947
