exit,premium,ret_on_premium
2018-06-25,0.00824950330566002,0.18316748808881922
2018-07-17,0.013310213485528043,-1.0
2018-08-07,0.007495250653603523,-1.0
2018-08-28,0.006734031501986871,-1.0
2018-09-19,0.007119448860297721,-1.0
2018-10-10,0.0067608124973076575,4.9222194604835146
2018-10-31,0.018629467977929998,0.47939511550159364
2018-11-21,0.017869469384658228,0.16004261331063252
2018-12-14,0.017452963322991927,-0.01630183989079259
2019-01-08,0.016820436756703232,-0.497720634310414
2019-01-30,0.016077756478264198,-1.0
2019-02-21,0.013482211419974027,-1.0
2019-03-14,0.010830147734604903,-1.0
2019-04-04,0.009780814703332768,-1.0
2019-04-26,0.009313338134386707,-1.0
2019-05-17,0.008853305876327785,1.9141845547522363
2019-06-10,0.013395699967108349,-1.0
2019-07-01,0.012896328856285768,-1.0
2019-07-23,0.009659569802011886,-1.0
2019-08-13,0.009504590518763043,1.623003411798705
2019-09-04,0.014323487528078906,-1.0
2019-09-25,0.013044311358757598,-1.0
2019-10-16,0.012366473013422937,-1.0
2019-11-06,0.010713914647436451,-1.0
2019-11-27,0.008715165340403078,-1.0
2019-12-19,0.008285937208622621,-1.0
2020-01-13,0.00633608705127379,-1.0
2020-02-04,0.008398045741170606,-1.0
2020-02-26,0.011875230817279094,3.4937133619429543
2020-03-18,0.025208293328498103,8.10550957070933
2020-04-08,0.0746110200699093,-1.0
2020-04-30,0.03652284359992208,-1.0
2020-05-21,0.029801632071502045,-1.0
2020-06-12,0.02360411424418043,-1.0
2020-07-06,0.030952259954093765,-1.0
2020-07-27,0.021029006811914785,-1.0
2020-08-17,0.018768897820050888,-1.0
2020-09-08,0.015524698295855122,-0.10404757691078825
2020-09-29,0.02431956687578283,-1.0
2020-10-20,0.020974119362721946,-1.0
2020-11-10,0.02644857972723235,-1.0
2020-12-02,0.018228711216371693,-1.0
2020-12-23,0.01613639915537293,-1.0
2021-01-15,0.017170292651265563,-1.0
2021-02-08,0.018919150098496765,-1.0
2021-03-02,0.014616205705156121,-0.30445633070943234
2021-03-23,0.017955100467302337,-1.0
2021-04-14,0.01428093866695599,-1.0
2021-05-05,0.012346770514099768,-1.0
2021-05-26,0.014378160798183532,-1.0
2021-06-17,0.011682912271258497,-1.0
2021-07-09,0.01062279635837572,-1.0
2021-07-30,0.010463772854879544,-1.0
2021-08-20,0.011286079497690739,-1.0
2021-09-13,0.011913340060031976,-1.0
2021-10-04,0.012494626260170654,1.969047437397478
2021-10-25,0.01876879872534891,-1.0
2021-11-15,0.011283143733488866,-1.0
2021-12-07,0.011054735495231881,-1.0
2021-12-29,0.013996232382982497,-1.0
2022-01-20,0.010269908038326964,5.266736563296562
2022-02-10,0.021809354715378114,-1.0
2022-03-04,0.019208807001626214,0.9870328511612831
2022-03-25,0.02690762400196428,-1.0
2022-04-18,0.016507878161940787,0.9697671315517915
2022-05-09,0.01740498644773233,4.221143779547623
2022-05-31,0.02919398194959403,-1.0
2022-06-22,0.023669840047460748,2.7776499144193543
2022-07-14,0.023721012422531978,-1.0
2022-08-04,0.023083067961758817,-1.0
2022-08-25,0.016904418271005268,-1.0
2022-09-16,0.01772955141003778,3.3516231217586423
2022-10-07,0.02249426006326685,1.6254242461800157
2022-10-28,0.026645231043883215,-1.0
2022-11-18,0.024172654809887405,-1.0
2022-12-12,0.01812860376438262,-1.0
2023-01-04,0.02161846419501557,0.556901382294442
2023-01-26,0.018496749591899283,-1.0
2023-02-16,0.016673841485410807,-1.0
2023-03-10,0.01598459229241868,2.42772333828848
2023-03-31,0.02167787188271276,-1.0
2023-04-24,0.014562488746265444,-1.0
2023-05-15,0.01279841426171136,-1.0
2023-06-06,0.011657779906306636,-1.0
2023-06-28,0.009042088439347748,-1.0
2023-07-20,0.008665095523066903,-1.0
2023-08-10,0.00984416386221945,0.4085797764827497
2023-08-31,0.01244001205579428,-1.0
2023-09-22,0.008966514439916239,3.5595482428233405
2023-10-13,0.013352784789227502,-1.0
2023-11-03,0.014914222812202997,-1.0
2023-11-27,0.010532449237755353,-1.0
2023-12-18,0.00857472265755738,-1.0
2024-01-10,0.008650516231206634,-1.0
2024-02-01,0.008746328144574926,-1.0
2024-02-23,0.008839208206743429,-1.0
2024-03-15,0.010391964610226564,-1.0
2024-04-08,0.01027732287277578,-1.0
2024-04-29,0.010694158251178981,0.5611241999002372
2024-05-20,0.011428251622930749,-1.0
2024-06-11,0.008435812837924706,-1.0
2024-07-03,0.009306528747961784,-1.0
2024-07-25,0.007921487138934324,1.9873717829640878
2024-08-15,0.015028171292501393,-1.0
2024-09-06,0.010972976716576703,1.094310382167015
2024-09-27,0.01701431115555311,-1.0
2024-10-18,0.011549634501245794,-1.0
2024-11-08,0.012474366640051618,-1.0
2024-12-02,0.009998384080023993,-1.0
2024-12-23,0.008165940664945685,0.4076161190779468
2025-01-16,0.011546158834402525,-0.5558287922344032
2025-02-07,0.012292831488085607,-1.0
2025-03-03,0.011629186230819759,1.4332708931860467
2025-03-24,0.018459122304877527,-0.2610297461848431
2025-04-14,0.014569192638982516,3.179880108362961
2025-05-06,0.02630599276374674,-1.0
2025-05-28,0.019379618063077753,-1.0
2025-06-18,0.01414296403086369,-1.0
2025-07-11,0.013989417705614095,-1.0
2025-08-01,0.011482353913697748,-0.734661686281108
2025-08-22,0.02541308983953311,-1.0
2025-09-15,0.00976278277131836,-1.0
2025-10-06,0.010824581191211437,-1.0
2025-10-27,0.01083561740128436,-1.0
2025-11-17,0.011057800607836385,1.582735765839716
2025-12-09,0.01666037424369592,-1.0
2025-12-31,0.011842540071065647,-1.0
2026-01-23,0.010257779204594919,-1.0
2026-02-13,0.012155127140403897,-0.10715502952881373
2026-03-09,0.016103772952268485,-0.6830207934791224
2026-03-30,0.018138282617553635,2.6231285878504975
2026-04-21,0.024955370307930422,-1.0
2026-05-12,0.015996301788192977,-1.0
2026-06-03,0.01372958485663974,-1.0
2026-06-25,0.011979912425972532,0.9974375868145366
2026-07-17,0.014151267823609565,-1.0
2026-08-07,0.014374976488054901,-1.0
2026-08-28,0.010751902665695886,-0.5297080579665049
2026-09-21,0.009524035742327028,-1.0
