exit,signal,entry,G1,G1_rel,G1_n,G2,G2_rel,G2_n,G3,G3_rel,G3_n,G4,G4_rel,G4_n,SPY,EW_universe,Momentum L/S,MeanRev L/S,All 4 combined,Longs only (G1+G3)
2018-06-25,2018-06-01,2018-06-04,-0.032418534491653404,,7,-0.008809227180958631,,3,-0.0009063758244383102,,5,0.014166660169399178,0.00033178121740495836,6,-0.00976023276479665,-0.011827863947928396,-0.02061388083630602,0.006630142172480434,-0.006991869331912792,-0.016662455158045857
2018-07-17,2018-06-22,2018-06-25,0.028091663189463257,-0.007738695714258581,5,-0.01857292905035826,0.02192777537996113,4,0.026531422034666918,-0.0032933016842643823,5,0.0037998058677658647,0.0400309553220169,7,0.03494448918472437,0.030938620886266678,0.004759367069552498,0.015165613951216392,0.009962490510384444,0.027311542612065087
2018-08-07,2018-07-16,2018-07-17,0.027965891764917667,0.02646781824390515,6,-0.014375004873546426,-0.007656956563978319,6,0.07172749125955409,0.05525211087419668,5,-0.019579409394895303,0.004280804461502169,4,0.01821948725606104,0.017880056928460623,0.00679544344568562,0.026074040932329394,0.016434742189007506,0.04984669151223588
2018-08-28,2018-08-06,2018-08-07,0.05780969852211256,0.047502627485468164,6,0.007441887485290273,0.02056734143625827,7,0.0008007020413506594,-0.013969639111102133,4,-0.01816783521047335,-0.005042381259505354,7,0.015197023355897121,0.013522642163420912,0.032625793003701414,-0.008683566584561346,0.011971113209570033,0.02930520028173161
2018-09-19,2018-08-27,2018-08-28,0.06454072705364479,0.06224764383305987,7,0.0039062341973775485,0.01537494793668818,6,0.0033940230256546576,0.0029531652761476844,5,-0.047419451824912584,-0.04114647707169725,6,0.004484083666185912,0.012779966527902033,0.03422348062551117,-0.022012714399628965,0.006105383112941103,0.03396737503964972
2018-10-10,2018-09-18,2018-09-19,-0.07141727577964908,-0.022148825107482666,7,0.03129674592965905,-0.01352011154092018,6,-0.05083252653087411,0.017122423339288838,5,0.025929529677683066,-0.018616062960456054,6,-0.04003890143837763,-0.04593182070206359,-0.020060264924995016,-0.012451498426595523,-0.01625588167579527,-0.0611249011552616
2018-10-31,2018-10-09,2018-10-10,-0.09637437575704709,-0.05517045328970481,7,0.03816304977170304,0.0074698966235444255,5,0.0438113652798682,0.08826252178570543,4,0.013055782428692844,-0.024148140038649433,7,-0.027560405731671622,-0.03923686486848164,-0.029105662992672025,0.028433573854280525,-0.00033604456919575105,-0.026281505238589443
2018-11-21,2018-10-30,2018-10-31,0.009821320172443138,0.03527440303764373,2,-0.001961626720866083,-0.01305854826601612,6,-0.013207235517250924,0.008024145752821652,7,-0.04610540734337402,-0.04212449978589228,3,-0.020729283728595393,-0.01857003023815657,0.003929846725788527,-0.029656321430312473,-0.012863237352261973,-0.0016929576724038931
2018-12-14,2018-11-20,2018-11-21,-0.019700821618267472,0.004418568817351254,2,-0.019125138554665373,-0.03585023959810176,6,-0.02770237251109677,-0.0038864669182937517,7,-0.020107944999269267,-0.031069714110648294,4,-0.017168577704348542,-0.015571780088555982,-0.01941298008646642,-0.023905158755183016,-0.02165906942082472,-0.02370159706468212
2019-01-08,2018-12-13,2018-12-14,-0.024951188882638753,-0.04424944765077493,2,-0.05358880165572041,-0.050550066661405636,7,0.09727526616897877,0.09823653117466401,7,0.022081603881218225,0.022492914723224233,5,-0.008448493389319967,0.00790871966065586,-0.03926999526917958,0.0596784350250985,0.010204219877959459,0.03616203864317001
2019-01-30,2019-01-07,2019-01-08,-0.026570217923236328,-0.059520557675367014,1,-0.07046385451780013,-0.026792580076432426,4,0.08521014228872585,0.04741492931073659,7,-0.04185613473180094,-0.02056313420319189,2,0.04210000925654023,0.04743398488247959,-0.04851703622051823,0.021677003778462454,-0.013420016221027887,0.029319962182744762
2019-02-21,2019-01-29,2019-01-30,0.05601740480447457,0.026270079917412276,6,-0.0524504647285533,-0.025820478083053766,2,-0.010611056907300338,-0.04431934767669431,7,-0.043773674598396116,-0.004134138170752384,6,0.03677414997033912,0.043661540185512264,0.0017834700379606334,-0.027192365752848228,-0.012704447857443797,0.022703173948587115
2019-03-14,2019-02-20,2019-02-21,-0.0038007648226065427,-0.01100167167196848,7,0.0065643945739986,0.019291152592940952,4,0.0019112789757196897,0.003906799210820322,2,-0.005477082522370494,0.005723824326991446,7,0.013481269952998698,0.0031491119703944324,0.0013818148756960286,-0.0017829017733254023,-0.00020054344881468688,-0.0009447429234434265
2019-04-04,2019-03-13,2019-03-14,0.0513676185023054,0.02142133438547474,6,-0.022446054183212067,-0.001457439898169118,3,-0.013741439540608386,-0.03896829493746068,4,-0.017250483272398358,0.01701505059662375,7,0.025910329307941016,0.029604695360931823,0.014460782159546668,-0.015495961406503372,-0.000517589623478352,0.01881308948084851
2019-04-26,2019-04-03,2019-04-04,-0.014423243273006167,-0.032257157574556196,6,0.007956530368872785,0.02381668713699786,2,-0.04845538614030531,-0.04643963118177454,5,0.007988524104463633,0.02329914082143322,7,0.02169350987359886,0.01223676209419062,-0.003233356452066691,-0.02023343101792084,-0.011733393734993765,-0.03143931470665574
2019-05-17,2019-04-25,2019-04-26,-0.027128391345967007,0.012846149477521163,4,0.026483013832570696,-0.004993967435760749,6,-0.008857059120702726,0.024531393520655947,4,0.002592640140217349,-0.02905524327537929,7,-0.0257995930087368,-0.02832490505459613,-0.0003226887566981553,-0.003132209490242689,-0.001727449123470422,-0.017992725233334866
2019-06-10,2019-05-16,2019-05-17,-0.03226430086435576,-0.038595486883638855,5,-0.0034082917351819044,0.0036321131474216597,6,-0.02267960816927452,-0.03607202763518356,6,-0.03454610859513372,-0.027964254686437838,5,0.010949774146911784,0.006317808328153414,-0.017836296299768833,-0.02861285838220412,-0.02322457734098648,-0.02747195451681514
2019-07-01,2019-06-07,2019-06-10,0.012326747484324885,-0.021320989578252514,4,-0.08303427036171614,-0.043070798221537296,5,0.08355959969195514,0.04951170244943748,6,-0.031818634851530074,0.004549621949406779,7,0.028127663269739145,0.03995951721368771,-0.035353761438695626,0.025870482420212535,-0.004741639509241545,0.047943173588140015
