SPY 30d IV discount (vol pts),hold,variant,CAGR,Ann. vol,Sharpe,Sortino,Max drawdown,Calmar,CVaR 95%,Worst period,Beta to SPY,Hit rate
0.0,3 weeks,18 long ATM calls + short 30d SPY calls,0.22593974877859502,0.16019279080994692,1.1900464099030916,2.830713941025937,-0.10389596681908819,2.1746729511841303,-0.05132411919381979,-0.10209404054360276,0.24835626115363604,0.5827338129496403
0.0,3 weeks,18 long 30d calls + short 30d SPY calls,0.113422867674418,0.15398165700437963,0.6019660449505317,1.1996010958206826,-0.14028914250406677,0.8084935558796366,-0.05825824364396209,-0.09506627905304071,0.027778200616116428,0.5107913669064749
0.0,3 weeks,G3 long ATM calls + short 30d SPY calls,0.2915973107202605,0.2492172184940352,1.0368697589922946,3.115808839066823,-0.199805166590731,1.459408261036368,-0.06299231853397501,-0.10739680629508727,0.41482721904567554,0.5683453237410072
0.0,1 month,18 long ATM calls + short 30d SPY calls,0.14358794304675127,0.1464180710990453,0.8129135592438309,1.5725742115057866,-0.13652886651971896,1.0517039121980314,-0.06652545578675609,-0.13223685185294698,0.24849395631665414,0.5151515151515151
0.0,1 month,18 long 30d calls + short 30d SPY calls,0.057711364692133005,0.1713337847705547,0.25680259988201515,0.4585128533332386,-0.19035358880848585,0.3031798089722187,-0.09099946976047234,-0.14761972366181775,0.14923574288640581,0.42424242424242425
0.0,1 month,G3 long ATM calls + short 30d SPY calls,0.16117801791378672,0.19899931349116762,0.7172672461668692,1.5032988552747915,-0.17513179449266947,0.9203241386333947,-0.0886490841306633,-0.17036101488799704,0.3953175108536299,0.5757575757575758
1.0,3 weeks,18 long ATM calls + short 30d SPY calls,0.17837345383292047,0.16007629172293894,0.9411318356004612,2.0604562425533297,-0.11118849087709815,1.6042438603657732,-0.05543325683869531,-0.10593438954876722,0.2244139918745757,0.5539568345323741
1.0,3 weeks,18 long 30d calls + short 30d SPY calls,0.0698580764856318,0.1546892622061171,0.34073320267838014,0.6278067716289896,-0.180344279188424,0.3873595369922656,-0.06301954867860474,-0.09890662805820516,0.0038359313370562855,0.4748201438848921
1.0,3 weeks,G3 long ATM calls + short 30d SPY calls,0.2439331507831719,0.24795383381264524,0.8877766221903559,2.4799986567136787,-0.208731847713289,1.1686436614992979,-0.0662260283654191,-0.11298276848441742,0.386903369527664,0.5539568345323741
1.0,1 month,18 long ATM calls + short 30d SPY calls,0.10123938053199666,0.146454905069623,0.5530044964604154,0.9770026709652362,-0.14565352057256664,0.6950699175277247,-0.07265160240463307,-0.13912206923868123,0.2183777435885044,0.5050505050505051
