signal,entry,exit,group,sector,ticker,skew90,mom20,dd60,stock_ret,pnl,vs_sector
2018-06-22,2018-06-25,2018-07-17,G2,XLV,DHR,3.61,-0.0292,-0.0382,0.0089,-0.0109,0.0291
2018-06-22,2018-06-25,2018-07-17,G2,XLC,T,2.44,-0.0333,-0.1151,0.0223,-0.0243,0.0202
2018-06-22,2018-06-25,2018-07-17,G2,XLB,NEM,2.06,-0.0594,-0.1036,-0.0014,-0.0006,0.0232
2018-06-22,2018-06-25,2018-07-17,G2,XLU,PCG,1.37,-0.0208,-0.0829,0.0066,-0.0086,0.01
2018-06-22,2018-06-25,2018-07-17,G3,XLK,ORCL,5.37,-0.0508,-0.0898,0.1087,0.1067,0.057
2018-06-22,2018-06-25,2018-07-17,G3,XLY,GM,6.04,0.0839,-0.0803,-0.0143,-0.0163,-0.0517
2018-06-22,2018-06-25,2018-07-17,G3,XLI,GD,6.01,-0.0927,-0.1619,0.022,0.02,-0.0066
2018-06-22,2018-06-25,2018-07-17,G3,XLB,IP,5.79,-0.0293,-0.1018,0.0015,-0.0005,-0.0204
2018-06-22,2018-06-25,2018-07-17,G3,XLE,MPC,6.77,-0.082,-0.1191,0.0247,0.0227,0.0052
2018-06-22,2018-06-25,2018-07-17,G3,XLP,MO,9.66,0.0328,-0.1056,0.0049,0.0029,-0.0153
2018-06-22,2018-06-25,2018-07-17,G4,XLK,AVGO,7.29,0.0807,-0.026,-0.1747,0.1727,0.2264
2018-06-22,2018-06-25,2018-07-17,G4,XLY,HD,7.15,0.0607,-0.0194,0.024,-0.026,0.0134
2018-06-22,2018-06-25,2018-07-17,G4,XLV,ISRG,6.98,0.0555,-0.0248,0.1062,-0.1082,-0.0682
2018-06-22,2018-06-25,2018-07-17,G4,XLI,TDG,6.24,0.0193,-0.0109,0.0738,-0.0758,-0.0452
2018-06-22,2018-06-25,2018-07-17,G4,XLC,OMC,5.11,0.0616,0.0,-0.0565,0.0545,0.0989
2018-06-22,2018-06-25,2018-07-17,G4,XLB,VMC,6.6,0.0286,-0.0125,-0.0372,0.0352,0.0591
2018-06-22,2018-06-25,2018-07-17,G4,XLE,OKE,7.22,0.0544,-0.0011,0.0237,-0.0257,-0.0042
2018-06-22,2018-06-25,2018-07-17,G4,XLP,KO,8.76,0.0311,-0.0277,0.0383,-0.0403,-0.0181
2018-06-22,2018-06-25,2018-07-17,G4,XLU,SO,10.1,0.0353,0.0,0.0225,-0.0245,-0.0059
2018-07-16,2018-07-17,2018-08-07,G1,XLK,AMD,-0.3,0.0147,-0.031,0.1595,0.1575,0.1529
2018-07-16,2018-07-17,2018-08-07,G1,XLY,AMZN,3.12,0.0621,0.0,0.0101,0.0081,0.0087
2018-07-16,2018-07-17,2018-08-07,G1,XLV,VRTX,3.5,0.169,0.0,-0.0278,-0.0298,-0.0579
2018-07-16,2018-07-17,2018-08-07,G1,XLC,LYV,3.53,0.0918,-0.0058,-0.0338,-0.0358,0.0067
2018-07-16,2018-07-17,2018-08-07,G1,XLB,IFF,2.04,0.0149,-0.1031,0.0406,0.0386,0.0304
2018-07-16,2018-07-17,2018-08-07,G1,XLE,FANG,2.74,0.1247,-0.0495,0.0313,0.0293,0.018
2018-07-16,2018-07-17,2018-08-07,G1,XLP,KDP,3.18,0.2677,-0.008,-0.0441,-0.0461,-0.0643
2018-07-16,2018-07-17,2018-08-07,G1,XLU,AEE,3.99,0.0767,-0.0111,0.0215,0.0195,0.0061
2018-07-16,2018-07-17,2018-08-07,G2,XLK,KLAC,3.79,-0.0769,-0.1183,0.1159,-0.1179,-0.1093
