,avg excess vs sector / 3wk,hit rate,baskets w/ picks
low skew <=4,0.007339372722797554,0.5539568345323741,138.0
mid 4-5,0.009610939366015196,0.60431654676259,138.0
high >=5 (G3),0.014752967117163687,0.60431654676259,138.0
any skew,0.014698687399617433,0.5683453237410072,138.0
