side,positions,avg,worst,best,loss_gt_10,loss_gt_20
long,1871,0.016541421699625868,-0.7281,0.6881,0.06787814003206841,0.014965259219668627
short,1711,-0.009938573933372297,-0.754,0.4801,0.07831677381648158,0.01636469900642899
