,,CAGR,Sharpe,Max DD
"as backtested (signal d, entry d+1)",sector,0.11493991153404592,1.3032262613521186,-0.08339481108823987
"as backtested (signal d, entry d+1)",spy75,0.13112869177412234,1.1899913310158028,-0.07877714002241365
one day older signal (d-1),sector,0.0976497330783368,1.1246346169883008,-0.06756818405073783
one day older signal (d-1),spy75,0.11743345528777382,1.057647732418628,-0.11143434037294242
PLANTED LEAK: signal from d+15,sector,0.3127809459555646,2.244341756638315,-0.1919815726036307
PLANTED LEAK: signal from d+15,spy75,0.3322327563416916,2.173136236857333,-0.20677314728590823
