hold,rule,baskets on,puts on %,put P&L % notional (on),put P&L % notional (off),put paid off % (on),SPY ret % (on),SPY ret % (off)
3 weeks,always,139,100.0,-0.4857573878684526,,20.863309352517987,0.9262795322272633,
3 weeks,iv_pct<25,41,29.496402877697843,-0.4065583223602811,-0.5188916907851363,17.073170731707318,0.6641485265106987,1.0359465856392958
3 weeks,iv_pct<50,73,52.51798561151079,-0.5192489929353391,-0.44871364287022936,17.80821917808219,0.8614415400067357,0.997994281198453
3 weeks,vrp<p25,36,25.899280575539567,-0.6786645684358446,-0.41833351893227666,22.22222222222222,1.2846117597105704,0.8010372002913503
3 weeks,skew_pct<25,43,30.935251798561154,-0.8878528645077695,-0.3056521222904252,11.627906976744185,1.824973509640344,0.5237395215109876
3 weeks,spy<sma50,34,24.46043165467626,-0.09258775120528873,-0.613069460692715,23.52941176470588,0.9002854694860611,0.9346966573053669
3 weeks,spy<sma200,27,19.424460431654676,-0.6823025503027793,-0.4383759647816059,25.925925925925924,1.6207885299094598,0.7588532560003053
3 weeks,calm_top,31,22.302158273381295,-0.4815872228742877,-0.4869543796723331,16.129032258064516,0.8559654287572198,0.9464622841492203
3 weeks,iv<25|spy<sma50,75,53.956834532374096,-0.2642249967700179,-0.7453656586869306,20.0,0.771197273992863,1.1080165535957012
1 month,always,99,100.0,-0.40213839569330273,,23.232323232323232,1.293185592003171,
1 month,iv_pct<25,30,30.303030303030305,-0.24461371693439357,-0.4706273864580458,23.333333333333332,0.47897555501585887,1.6471899559106977
1 month,iv_pct<50,50,50.505050505050505,-0.3973084579021625,-0.40706690364344594,20.0,1.1185848381928982,1.471349626503449
1 month,vrp<p25,23,23.232323232323232,0.08238547669081228,-0.5487706202306006,30.434782608695656,1.5175006418360844,1.2253007742905786
1 month,skew_pct<25,32,32.323232323232325,-0.07957113133911758,-0.5562003726982867,28.125,0.8531469516139877,1.5033533008457656
1 month,spy<sma50,26,26.262626262626267,-0.5738761856306089,-0.340971511606043,23.076923076923077,2.2633194807657966,0.9476584535397699
1 month,spy<sma200,18,18.181818181818183,-0.8629653968316877,-0.29973239544032837,27.77777777777778,2.627675311586071,0.9966323209847484
1 month,calm_top,24,24.242424242424242,-0.2771922259766054,-0.4421211700026459,20.833333333333336,0.6806982773886833,1.4891815326798068
1 month,iv<25|spy<sma50,56,56.56565656565656,-0.3974855774004936,-0.4081978799816125,23.214285714285715,1.3074209491140443,1.274646522277382
