hold,rule,book,puts on %,CAGR,Ann. vol,Sharpe,Max drawdown,Worst period,2020,2022,Sharpe 2018-22H1,Sharpe 2022H2-26
3 weeks,none,"18 ATM calls, no puts",0.0,0.10378703430622505,0.09263227002869574,0.8283703345963745,-0.07977819807755682,-0.03750363997285531,0.28154666175065257,0.023987516050645086,0.6696846703642033,1.0447671005303452
3 weeks,none,"18 longs + sector ETF, no puts",0.0,0.14462860515024234,0.08613549261863272,1.3090862668560386,-0.0704137307609145,-0.03743743140266651,0.4647575906822141,0.09226664003560514,1.252495272937756,1.422889979820612
3 weeks,always,18 ATM calls + SPY puts 50%,100.0,0.06074366689228228,0.0821900837922557,0.43715920528897784,-0.10980078465393173,-0.052979769949902195,0.21559096271173916,0.0858652673846867,0.39022504207190334,0.5042044992603518
3 weeks,always,18 ATM calls + SPY puts 100%,100.0,0.01637424271609622,0.10523664111381,-0.046310116324482814,-0.25202765454730636,-0.06845589992694907,0.13871913137371883,0.1449293231125348,0.019636646893682278,-0.14966172850325934
3 weeks,always,18 longs + sector ETF + SPY puts 50%,100.0,0.09896315353532503,0.08777256544180323,0.8197905269022306,-0.10820274328773671,-0.0529135613797134,0.3878392908897059,0.1548102468324568,0.9015134362201557,0.730140775418329
3 weeks,iv_pct<25,18 ATM calls + SPY puts 50%,29.496402877697843,0.09289195471769074,0.0915240313067414,0.7283389630076563,-0.07559418106019233,-0.03750363997285531,0.27246436861003986,0.0520010928023098,0.5650602937264957,0.9482177217358143
3 weeks,iv_pct<25,18 ATM calls + SPY puts 100%,29.496402877697843,0.08175780492629703,0.09386913116518678,0.6028308868310766,-0.10567975223781012,-0.03750363997285531,0.2634138793981804,0.08001466955397474,0.4421168193613279,0.813753062438521
3 weeks,iv_pct<25,18 longs + sector ETF + SPY puts 50%,29.496402877697843,0.13318373376186288,0.08675687703314644,1.1836005112406194,-0.07683833266329021,-0.03743743140266651,0.4543538570909418,0.12125910016454178,1.1155387795003646,1.3209519221413408
3 weeks,iv_pct<50,18 ATM calls + SPY puts 50%,52.51798561151079,0.07907714760067774,0.09098128453582084,0.5916281697947177,-0.07330412230458694,-0.03750363997285531,0.24986763843735904,0.04249142707759157,0.4576619059296658,0.7748248548464386
3 weeks,iv_pct<50,18 ATM calls + SPY puts 100%,52.51798561151079,0.054393480343835066,0.09446795335936109,0.32731054387602954,-0.1376975672573526,-0.03750363997285531,0.21875946825473425,0.06048887522634372,0.22751445236281057,0.4601093433480566
