hold,1 month,1 month,3 weeks,3 weeks
period,2018-06..2022-06,2022-07..2026-09,2018-06..2022-06,2022-07..2026-09
variant,,,,
18 longs + short SPY,1.0112841038494202,0.4320897227249703,1.2049345766334443,0.8509472466450273
18 longs + short SPY 0.75x,1.0493024096918884,0.7175511461486722,1.1962949447743916,1.1337614663543054
18 longs + short sector ETF,0.9345607704194911,0.9269397682910967,1.2524952729377614,1.4228899798206227
18 longs via ATM calls (notional-matched),0.9845800877516806,0.5347815144050749,0.669684670364209,1.0447671005303536
"18 longs, stock (unhedged)",0.9452320086696733,1.1326946632337227,0.9671677735633488,1.3519143946591752
"18 shorts, stock (short book alone)",-0.9897450840594858,-1.590350584774019,-1.230304919048931,-1.3002288633049708
Old book: 18L / 18S stocks,0.3915923791404644,-0.30308541717390586,0.4761406973980764,0.0784492974992469
SPY buy & hold,0.6237201866014814,0.9404902987516089,0.5473631956442307,1.0673043231604205
