exit,signal,entry,SPY,cash,spy_put,L18 stock,G3 stock,L18 sec,G3 sec,L18 spy,G3 spy,L18 atm,G3 atm,L18 c30,G3 c30,L18 atm_dm,G3 atm_dm,L18 c30_dm,G3 c30_dm,L18 x_atm,G3 x_atm,L18 x_c30,G3 x_c30,L18 x_mix,G3 x_mix,L18 h1,G3 h1,L18 h2,G3 h2,L18 pp50,G3 pp50,L18 pp100,G3 pp100,L18 spy50,G3 spy50,L18 spy75,G3 spy75,L18 spyb,G3 spyb,S18 stock,S18 put,S18 put_dm,G2 put_dm,G4 put_dm,CP36 atm,CP36 atm_dm,SEC+PUT,Book 18L/18S (stock shorts)
2018-06-25,2018-06-01,2018-06-04,-0.00976054410413818,0.001063695866409864,0.0015110407984781568,-0.01326553180443747,0.00706430315457201,-0.01160036066369391,0.008020318327915738,-0.003999540719505873,0.015172045353887158,-0.01079561018150457,-0.0016230046459203612,-0.007148582142829633,-0.0021231063061451978,-0.021646243466868362,-0.003992570000148048,-0.026310564164388442,-0.009558978042106977,-0.004871175237126078,0.01068561470087645,-0.015899020307762978,-0.00044887716755969407,-0.011234699610242892,0.005117530874399237,-0.0066353683574431575,0.0020172069501333775,-0.014334432581296179,0.0029707180338568915,-0.010124036493292058,-0.001035377668734411,-0.009452462805079545,-0.0004477506915484607,-0.008632536261971675,0.011118174254229582,-0.006316038490738771,0.01314510980405837,-0.003999540719505873,0.015172045353887158,-0.0038310867790806846,0.0005650751297310625,1.827287357598231e-05,-0.00579651792383022,0.005833063670982184,-0.005115267525886754,-0.01081398529664619,-0.005791043895058964,-0.009139251439764557
2018-07-17,2018-06-22,2018-06-25,0.03494473974017187,0.0011072675246632802,-0.013310213485528043,0.019065767654927963,0.01543176962894145,-0.002946443470467833,-0.004025398830387714,-0.00566129561182824,-0.007393211848064274,0.002311416727027182,0.0027085809781252548,-3.865280354878638e-05,0.0024654228255788398,0.003546351545545697,0.004218883023671992,-0.0027124669027102934,0.005634451861048446,-0.02756839563894787,-0.02450242206970668,-0.03940727705504058,-0.028237680587256436,-0.03314845860678459,-0.02965324942463289,-0.010451961512479327,-0.009072998935265367,-0.022011190549621935,-0.019253265395194015,-0.002495049253857946,-0.0017281568503840915,-0.007301515234743071,-0.006164894678893439,0.006702236021549858,0.004019278890438588,0.0005204702048608113,-0.0016869664788128442,-0.00566129561182824,-0.007393211848064274,-0.005624195951408704,-0.002650056296921988,-0.006865277820179409,-0.03354222175841423,0.01981166611805542,-0.0001693197849474029,-0.0016594631373168561,-0.004905860645323621,0.006013364933224756
2018-08-07,2018-07-16,2018-07-17,0.018219603722448685,0.0011258593000003092,-0.007495250653603523,0.02808528768183928,0.04034895902201178,0.020330656702521738,0.03048809150430941,0.015450916710070999,0.030630212120651572,0.014396944728003146,0.029658962338005395,0.006266274346322604,0.017943640622768733,0.02617554566453023,0.05549705435087977,0.018260576121074634,0.05718513037589509,0.012843686281273935,0.04524177790222107,0.0036852545809960913,0.045973344575834664,0.01160022412445169,0.04428526855081935,0.007673198939341119,0.02448685019288076,0.014220538578681928,0.04784784108576121,0.011690326436424099,0.027576948267559978,0.008983708144845047,0.025494934197114554,0.021768102195955145,0.035489585571331674,0.01860950945301307,0.03305989884599162,0.015535958208202645,0.03018534503466577,-0.012644774472287604,-0.008268221574596427,-0.018513870881797456,-0.013477147680649549,-0.023550594082945367,0.0030643615767033594,0.0038308373913663873,0.0009083929103621408,0.007000957607553417
2018-08-28,2018-08-06,2018-08-07,0.015196653013295425,0.001144495932767109,-0.006734031501986871,0.020303820040124907,0.0009917201509233526,0.013042571010986485,-0.006130844644895397,0.010669048653106021,-0.005431460773755898,0.010381159662543899,-0.005143878570668271,0.007838580675040207,-0.0032523839129803994,0.018656679292107545,-0.010966499016910594,0.023458111740344144,-0.013511770219724578,0.00943565370284289,-0.017113849409753693,0.014198519502355463,-0.019684831711717032,0.009397087054118859,-0.017139560508903046,0.00518227532477876,-0.008609801462511698,0.009220054716790412,-0.018364098857790504,0.008136482495214944,-0.006640330015554242,0.005891805327885987,-0.008136781460440213,0.01548643434661548,-0.0022198703114162726,0.013077741499860742,-0.003825665542586086,0.011418299542455889,-0.006380678348157016,-0.006011071933884344,-0.005350087901664497,-0.012380821200143435,-0.001902769437306437,-0.022858872962980427,0.002515535880439701,0.003137929045982055,0.0003308749054215252,0.006383376764608876
2018-09-19,2018-08-27,2018-08-28,0.004484083131752303,0.0012404259953988639,-0.007119448860297721,0.02459566019959405,0.002436831272189904,0.02225374946934874,0.0015478091785638489,0.021761704649096922,0.000412577307549105,0.01652194717713191,-0.005288569923011636,0.010477674225060282,-0.004477418470501868,0.030134764267220997,-0.011194669087297387,0.032031253427603566,-0.017819055557603585,0.03574279683400802,-0.00718893153959237,0.03914906025205812,-0.012734907825850322,0.03725257109167555,-0.006110521355544127,0.014622581514783786,-0.006645259681831721,0.028004737034168708,-0.014530945359062306,0.013753272620349458,-0.0072661946064276695,0.01098459806356701,-0.009243819289843703,0.023178682424345502,0.0014247042898695046,0.0224701935367212,0.0009186407987093042,0.022087876723306175,0.0006189370197485695,-0.01374013993798335,-0.005638430878031694,-0.013108515442217994,-0.0015073008324629443,-0.024709730051973047,0.005441758149550107,0.008513124412501502,0.004572617013565373,0.004669722022506045
2018-10-10,2018-09-18,2018-09-19,-0.04003901534023557,0.0012077054308154977,0.0332782028429279,-0.04175386282114921,-0.027703520777491893,-0.0049080711665630975,0.009386818485060833,-0.00998419111033172,-0.005010898126907962,-0.025905864232192977,-0.026594549041729268,-0.01231045219772204,-0.012790523479657607,-0.048790692733185696,-0.04855478992208085,-0.04385281999764295,-0.045453057604094835,-0.03731436018510593,-0.0403574095305953,-0.03732398932362217,-0.04078960712265142,-0.042261862059164906,-0.043891339440637424,-0.010490691599879141,-0.015583711447219381,-0.02218908863057378,-0.032375128325254264,-0.012964340904387684,-0.017350603807582625,-2.281757658238814e-05,-0.008106658573435985,-0.02586902696574046,-0.01635720945219993,-0.01792660903803608,-0.010684053789553944,-0.007465010977626785,0.0003252749529776663,0.0267788097979161,0.017047202809968826,0.03423713343016863,0.04325115189631735,0.025223114964019924,-0.004429330711112076,-0.007276779651508532,0.014664531131802768,-0.00822556871933714
2018-10-31,2018-10-09,2018-10-10,-0.027560343930942977,0.0012640873824223409,0.008930875953012991,-0.03504259211226205,0.02185083830648307,-0.012333519781487461,0.03860352875862368,-0.011355566017790959,0.04080045918205994,-0.005078281499833125,0.016104440913420594,-0.0018434585829006822,0.008964349430094155,-0.011782681706835614,0.02778770553715695,-0.009094399168654368,0.026931627541328447,0.015902136027813617,0.04993555972487634,0.010104237010014052,0.042290536484263175,0.00741595447183281,0.04314661448009169,0.006238528471393116,0.02515788889040159,0.01121296956036389,0.04905169039838084,-0.0013570831860777082,0.019081399564424922,0.0023641151276777047,0.02205835821542925,-0.023199079065026506,0.03132564874427152,-0.017277322541408728,0.036063053963165725,-0.013457757070094079,0.04085780216914555,0.011397546673087436,0.003437011379612281,0.005886935166766826,0.0038979836361490486,0.007875886697384605,-0.000820635060110422,-0.002947873270034394,-0.0032232923073603173,-0.012559907026000343
2018-11-21,2018-10-30,2018-10-31,-0.020729345963453216,0.0012967651025714844,0.0028598765787950426,-0.0019345627703134527,-0.009984173289052446,0.008708692229808303,0.005671013173424014,0.011281393992257197,0.006836135317855656,-0.0030933699136589617,-0.004187417000120996,-0.0060232494894205775,-0.008920245653643594,-0.007089178270285769,-0.009149268029083741,-0.023103283537402056,-0.03275993741814545,0.015921831133676345,0.020137471212322584,-0.006887617678519583,-0.012121817234113217,0.009126487588596697,0.011488852154948489,0.003118374686285077,0.0037184397634441443,0.00493998426999867,0.006140114424316804,-0.002219518736804921,-0.003075242775034036,-0.0013456675599508791,-0.001963068549947074,0.00467341561097187,-0.0015740189855984004,0.007977404801614539,0.0026310581661286333,0.012895998981448201,0.01359184884768305,-0.01397452500990907,-0.013408812115353818,-0.02976288987315761,-0.04105851615278005,-0.01846726359353516,-0.00825109101450639,-0.01842603407172169,-0.010527098821674654,-0.008855075211341459
2018-12-14,2018-11-20,2018-11-21,-0.017168447909280626,0.001464761797452807,-0.0002845154137112904,-0.004086303563982614,-0.017524732181602554,0.0021982484587965896,-0.004918164758995255,0.0090821256686582,0.0007084775251308822,-0.009245053586401417,-0.022286594171794308,-0.007517281547954002,-0.018249615901007817,-0.01871114975342283,-0.043371485301315474,-0.028475382687236556,-0.0642498305307493,0.006015185319642549,-0.00913502135399418,-0.01127178190594217,-0.04042946021818783,-0.0015075489721284381,-0.019551114988754007,-0.0031897807302722994,-0.013902370217153995,-0.007844323257997407,-0.029269502231760797,-0.009347795263574939,-0.02242885187864995,-0.009450536940748459,-0.022571109585505598,0.0024979110523377897,-0.008408127328235843,0.005790018360497998,-0.0038498249015524733,0.009875285609841338,0.006257171791773448,-0.020098905601039982,-0.016407517916805957,-0.03638152871956118,-0.04942977962415112,-0.02333327781497125,-0.012826285751603687,-0.027546339236492003,-0.017091640130382293,-0.013028424619772813
2019-01-08,2018-12-13,2018-12-14,-0.008448558304778642,0.0016042977079206988,-0.008371878451924537,0.01661355256347565,0.050144713968690725,0.026010557668044595,0.061838808405032135,0.023585059683758517,0.05979756998139009,0.021285992845596277,0.04862079789827198,0.012854532170805876,0.02868585343145089,0.03894911034568591,0.0909827436978507,0.03910507925087123,0.09187615011968783,0.06472087763426765,0.12666672917434849,0.057133569158302575,0.11683867460690046,0.05697760025311728,0.11594526818506333,0.024192416677877457,0.05264507705066129,0.046780535647834215,0.10368585639340189,0.018262814515734634,0.0444348586723097,0.015239636185873,0.04024891944634743,0.020099306123617086,0.05497114197504041,0.021842182903687807,0.05738435597821526,0.022664057727521638,0.06080233418277538,-0.005661847229419006,-0.008250857701059329,-0.01917919968511019,-0.05265455549537709,0.014296156125156726,0.006517567572268474,0.009884955330287862,0.0034156789914672036,0.004450884686967875
